,mode,wendland,time,tstd,rel,bw,nmll
0,sparse,1,0.0731564048633784,6.808866884141931,1.0,12,2465.7
1,sparse,2,0.0741771522941636,5.845091537076277,1.0139529468771935,24,1409.87
2,sparse,3,0.0714336604352981,6.116875848273732,0.9764512152928017,36,1136.06
3,sparse,4,0.0706465445470585,6.681087792147666,0.9656918581359054,48,1003.86
4,sparse,5,0.0726331445948642,5.81138964995726,0.9928473758450612,60,903.67
5,sparse,6,0.0749900774973623,5.515886358354238,1.025065100416133,72,821.9
6,sparse,7,0.0831967848946999,6.325944425705507,1.1372453997715193,84,755.05
7,sparse,8,0.0876556314535243,6.1257824804244745,1.1981949033338029,96,697.98
8,sparse,9,0.0926092794402636,5.610502929117301,1.265908017393883,108,649.03
9,sparse,10,0.0988924062101478,5.511897936826933,1.351794233120559,120,607.0
10,sparse,15,0.1251595580304472,3.415529612367224,1.7108489443157582,180,471.33
11,sparse,20,0.1676322987625718,3.043268557697355,2.291423410918424,240,402.01
12,sparse,25,0.1977948056356051,2.81779440248417,2.7037250669301227,300,360.72
13,sparse,30,0.2481162465965123,1.576040098237367,3.3915861100593454,360,333.42
14,sparse,35,0.3030303225797765,1.1640455598707835,4.142225457165284,420,313.64
15,sparse,40,0.3746928301273909,1.2635610941736122,5.121804862159912,480,298.47
16,sparse,50,0.5112893068081259,0.6886842961144283,6.988988971819655,600,276.88
17,sparse,60,0.6549819192019376,0.436008623232373,8.953172595415722,720,262.28
18,sparse,70,0.7386989251511996,0.3751985223498779,10.09752907528383,778,251.94
19,sparse,80,0.7388081433343106,0.4128298183789973,10.09902201610446,778,244.26
20,sparse,90,0.7391453404895595,0.4383981055398442,10.103631279720934,778,238.47
21,sparse,100,0.7394675612449646,0.3763858496556744,10.10803582578914,778,233.97
22,sparse,110,0.7396325244278205,0.767671529338252,10.110290764138886,778,230.32
23,sparse,inf,0.739132288049479,0.4423999138149413,10.103452861438832,778,201.59
24,full,None,0.2220616146609756,1.3201494691972715,3.035436406090234,778,201.59
