MODE,X_TRAIN_SIZE,mean,%std,relative
band,1000,0.299876904286166,2.8696257145563804,1.0
band,2000,0.6219484222481114,1.2908179452600046,2.074012414289163
band,3000,1.151519656929511,1.389693548376303,3.8399744710937824
band,4000,2.0823019668600735,0.9639515641309453,6.943855752468947
band,5000,3.022094447534163,1.594347570821475,10.077783264863386
band,6000,4.619643758031613,4.185021733674011,15.405133546474083
band,7000,6.3644530208124594,4.679785740010843,21.223551830250326
band,8000,8.546116196831992,2.630386263330365,28.498747568357647
sparse,1000,0.33189618885966626,4.300511053911508,1.106774760296128
sparse,2000,0.7846920556586752,6.759037003367845,2.6167138730692665
sparse,3000,1.4460839272798596,0.9358956913809372,4.82225842207539
sparse,4000,2.3250204847834786,1.3862861742339472,7.753249588587063
sparse,5000,3.7447762813697865,1.8513934760991915,12.487711550457478
sparse,6000,5.458107464384325,0.8318236152928593,18.20115983048755
sparse,7000,7.527712854398351,0.6633254602385135,25.102676287517024
sparse,8000,9.459764199379164,2.5059696102995517,31.54549104705949
jax,1000,0.29623314136449663,1.6672509494167593,0.9878491378642745
jax,2000,0.4682574364479552,1.560205073600696,1.5614988342053424
jax,3000,0.7756971447630782,1.751279625323046,2.5867185290896804
jax,4000,1.2012206440929762,1.4762518981365862,4.005712433748074
jax,5000,1.7918179314765557,0.8451705745473017,5.975178167661298
jax,6000,2.519068329503389,0.7732033402694393,8.400341251687383
jax,7000,3.4237152767477568,1.1198964178200204,11.417068896644938
jax,8000,4.490834138831314,1.1990324904342065,14.975591900021113
full,1000,0.9450613368827453,0.4314067328873495,3.15149757575493
full,2000,2.1682921249096787,0.5511742259332547,7.230607272244364
full,3000,4.014267498363148,0.11533090788441265,13.386384349667757
full,4000,6.43920640080993,0.13052890602831163,21.472832047996388
full,5000,9.4848867880887,3.804083043673928,31.629267384451452
full,6000,13.039883366753074,0.039223677457821064,43.48412025191976
full,7000,17.3655824996531,0.03946134564539036,57.909036179330116
full,8000,22.518148363852987,0.04254656783860643,75.091305939201
