fun,wendland,time,tstd,relative,bw,nmll,nse
band,1,0.05143192116787215,7.858601089101872,1.0,12,2465.7,17883
band,2,0.05205502235051972,7.0965339979589235,1.0121150672286532,24,1409.87,36141
band,3,0.05378977575182487,6.8417200656036306,1.0458441864587706,36,1136.06,54127
band,4,0.057933398080148295,6.522186312388137,1.126409373102271,48,1003.86,71757
band,5,0.06008909450278984,6.484287644661806,1.1683229624392397,60,903.67,89243
band,6,0.0637209274966246,5.684006022428021,1.2389373379353559,72,821.9,106349
band,7,0.06946786437873487,5.954383519940523,1.3506760548958296,84,755.05,123183
band,8,0.073324706835505,5.740100407066895,1.425665329439581,96,697.98,139685
band,9,0.07850782632671828,7.690756220370254,1.5264416444890565,108,649.03,155995
band,10,0.08316836370334639,4.849295352530823,1.6170573024462278,120,607.0,171949
band,15,0.11543628825591161,3.9041775794002525,2.2444483043736834,180,471.33,247471
band,20,0.15765578415137263,3.4239490124160525,3.0653294796589297,240,402.01,315813
band,25,0.18515945509512363,3.4027163494929007,3.600088250461597,300,360.72,376953
band,30,0.23584821697302558,1.934294473063442,4.585638872077605,360,333.42,430893
band,35,0.2938089015139927,1.3205350497573467,5.712578780695549,420,313.64,477633
band,40,0.360335964642599,0.9568439038080051,7.0060763133166635,480,298.47,517173
band,50,0.49887643513343144,0.7674022963198653,9.699743346259897,600,276.88,603309
band,60,0.6416256643356161,0.44255191663549776,12.47524202413848,720,262.28,606841
band,70,0.7326166528027233,0.37571663526916815,14.244396012575262,778,251.94,606841
band,80,0.7324563730053786,0.36320188031233497,14.241279663939917,778,244.26,606841
band,90,0.732878309924428,0.406565013725816,14.249483458576952,778,238.47,606841
band,100,0.7330095012013506,0.4532557199986023,14.252034233930926,778,233.97,606841
band,inf,0.7323473313959633,0.4208570088352604,14.239159548514724,778,201.59,606841
sparse,1,0.09697000429587911,4.580539625756843,1.885405057675604,12,2465.7,17883
sparse,2,0.10256588785057394,4.962488988187876,1.9942068178982104,24,1409.87,36141
sparse,3,0.10705987584048568,4.675169458536695,2.0815842264776703,36,1136.06,54127
sparse,4,0.10951095558431027,4.519135713306909,2.1292410063172635,48,1003.86,71757
sparse,5,0.11746836525120147,4.31024996449973,2.283958339175946,60,903.67,89243
sparse,6,0.11917205884416385,3.99830814055525,2.3170835570226913,72,821.9,106349
sparse,7,0.1215044088691835,3.840480534175298,2.3624318538013966,84,755.05,123183
sparse,8,0.12564466263958599,3.907115422070975,2.442931544973516,96,697.98,139685
sparse,9,0.13073648035136703,3.488979354709709,2.541932663270488,108,649.03,155995
sparse,10,0.1455548873092189,3.1160059679928565,2.8300495879617715,120,607.0,171949
sparse,15,0.15478422899836117,3.3895490382515234,3.0094973215787597,180,471.33,247471
sparse,20,0.21139820234876283,2.393836396382385,4.110252884755478,240,402.01,315813
sparse,25,0.19246575656609657,2.4763431722432054,3.742145970746348,300,360.72,376953
sparse,30,0.29508294578852173,1.7557718149765713,5.737350250350953,360,333.42,430893
sparse,35,0.39452521605569807,2.155455989500395,7.670824015458811,420,313.64,477633
sparse,40,0.36462243181286436,1.4714744176948111,7.089418857653564,480,298.47,517173
sparse,50,0.41328512352356794,1.2398439021721122,8.035576236295325,600,276.88,603309
sparse,60,0.5491985403783789,0.8965539045530883,10.678164997683293,720,262.28,606841
sparse,70,0.4316177393800469,1.1428578520041586,8.392020550258279,778,251.94,606841
sparse,80,0.43237728009121024,1.586383498961829,8.406788435531011,778,244.26,606841
sparse,90,0.43057198251020096,1.1988673548963789,8.371687713255504,778,238.47,606841
sparse,100,0.4307571619642251,1.2346076096424226,8.375288190348703,778,233.97,606841
sparse,inf,0.4307868155954559,1.2792939420645788,8.375864751180137,778,201.59,606841
jax,NA,0.060704426024981564,17.828685923678847,1.180286962776371,NA,201.59,606841
full,NA,0.22838117278574085,2.6236569143745467,4.440455802541615,NA,201.59,606841
